;ele;t_out
2023-08-31 21:00:00+00:00;719684.094;17.106
2023-08-31 22:00:00+00:00;616270.926;17.106
2023-08-31 23:00:00+00:00;554790.947;17.106
2023-09-01 00:00:00+00:00;508033.007;17.25705
2023-09-01 01:00:00+00:00;476168.063;18.118299999999998
2023-09-01 02:00:00+00:00;470476.988;18.231
2023-09-01 03:00:00+00:00;519397.735;17.7347
2023-09-01 04:00:00+00:00;532458.277;17.225
2023-09-01 05:00:00+00:00;526167.505;16.862046499999998
2023-09-01 06:00:00+00:00;514870.527;16.18799
2023-09-01 07:00:00+00:00;514722.282;16.8262965
2023-09-01 08:00:00+00:00;524116.885;16.738
2023-09-01 09:00:00+00:00;520821.723;16.738
2023-09-01 10:00:00+00:00;524401.573;17.7083
2023-09-01 11:00:00+00:00;533922.6;17.744
2023-09-01 12:00:00+00:00;567172.382;17.744
2023-09-01 13:00:00+00:00;615268.562;18.1837455
2023-09-01 14:00:00+00:00;646916.873;18.78099
2023-09-01 15:00:00+00:00;684772.433;18.78099
2023-09-01 16:00:00+00:00;744149.271;19.082244499999998
2023-09-01 17:00:00+00:00;779416.841;17.871100000000002
2023-09-01 18:00:00+00:00;759572.685;17.763
2023-09-01 19:00:00+00:00;961945.542;17.763
2023-09-01 20:00:00+00:00;925141.345;17.353
2023-09-01 21:00:00+00:00;748172.464;16.738
2023-09-01 22:00:00+00:00;624161.548;16.738
2023-09-01 23:00:00+00:00;559609.953;16.738
2023-09-02 00:00:00+00:00;525482.454;16.738
2023-09-02 01:00:00+00:00;502246.944;16.738
2023-09-02 02:00:00+00:00;485479.962;16.25855
2023-09-02 03:00:00+00:00;495187.812;16.05
2023-09-02 04:00:00+00:00;504090.807;16.05
2023-09-02 05:00:00+00:00;553076.745;16.92635
2023-09-02 06:00:00+00:00;590939.533;17.081
2023-09-02 07:00:00+00:00;615750.549;17.700200000000002
2023-09-02 08:00:00+00:00;638554.846;18.113
2023-09-02 09:00:00+00:00;637375.69;18.7732435
2023-09-02 10:00:00+00:00;622140.039;19.18799
2023-09-02 11:00:00+00:00;617902.02;18.576596000000002
2023-09-02 12:00:00+00:00;634580.477;18.169
2023-09-02 13:00:00+00:00;702712.282;18.169
2023-09-02 14:00:00+00:00;744510.257;18.169
2023-09-02 15:00:00+00:00;817960.589;18.169
2023-09-02 16:00:00+00:00;870003.003;18.169
2023-09-02 17:00:00+00:00;855730.45;17.494300000000003
2023-09-02 18:00:00+00:00;776318.938;17.131
2023-09-02 19:00:00+00:00;957143.427;17.131
2023-09-02 20:00:00+00:00;936471.617;17.131
2023-09-02 21:00:00+00:00;769871.283;16.21725
2023-09-02 22:00:00+00:00;641105.606;15.9823
2023-09-02 23:00:00+00:00;579067.796;14.988
2023-09-03 00:00:00+00:00;532222.15;14.065491
2023-09-03 01:00:00+00:00;496857.646;13.96299
2023-09-03 02:00:00+00:00;482844.546;14.052999
2023-09-03 03:00:00+00:00;489207.443;14.062999999999999
2023-09-03 04:00:00+00:00;493033.548;14.062999999999999
2023-09-03 05:00:00+00:00;549613.17;14.2147985
2023-09-03 06:00:00+00:00;601040.324;15.283792
2023-09-03 07:00:00+00:00;635864.891;16.6027455
2023-09-03 08:00:00+00:00;656508.53;17.5569435
2023-09-03 09:00:00+00:00;656659.99;18.231
2023-09-03 10:00:00+00:00;672896.112;18.231
2023-09-03 11:00:00+00:00;655718.698;19.31299
2023-09-03 12:00:00+00:00;648421.696;19.31299
2023-09-03 13:00:00+00:00;656922.632;18.908841
2023-09-03 14:00:00+00:00;685128.667;18.41299
2023-09-03 15:00:00+00:00;753008.114;19.5607405
2023-09-03 16:00:00+00:00;826540.57;18.285799500000003
2023-09-03 17:00:00+00:00;883959.231;17.375
2023-09-03 18:00:00+00:00;834265.417;17.29455
2023-09-03 19:00:00+00:00;989214.262;16.356
2023-09-03 20:00:00+00:00;963869.788;16.356
2023-09-03 21:00:00+00:00;797720.014;16.0224
2023-09-03 22:00:00+00:00;664529.372;15.244
2023-09-03 23:00:00+00:00;598640.088;15.1421
2023-09-04 00:00:00+00:00;562368.297;14.225
2023-09-04 01:00:00+00:00;536545.355;14.225
2023-09-04 02:00:00+00:00;534116.004;14.225
2023-09-04 03:00:00+00:00;582649.016;14.225
2023-09-04 04:00:00+00:00;586146.638;14.225
2023-09-04 05:00:00+00:00;570246.755;14.225
2023-09-04 06:00:00+00:00;545582.276;14.225
2023-09-04 07:00:00+00:00;529642.017;14.225
2023-09-04 08:00:00+00:00;524891.352;15.2477465
2023-09-04 09:00:00+00:00;516186.033;16.28099
2023-09-04 10:00:00+00:00;512353.035;16.28099
2023-09-04 11:00:00+00:00;518343.999;16.28099
2023-09-04 12:00:00+00:00;556894.486;17.27279
2023-09-04 13:00:00+00:00;622190.282;17.32499
2023-09-04 14:00:00+00:00;661718.17;18.023739999999997
2023-09-04 15:00:00+00:00;719550.827;17.64549
2023-09-04 16:00:00+00:00;819825.372;16.663197
2023-09-04 17:00:00+00:00;884679.728;16.235999500000002
2023-09-04 18:00:00+00:00;842678.448;15.281
2023-09-04 19:00:00+00:00;1002111.219;15.281
2023-09-04 20:00:00+00:00;953014.355;15.173000000000002
2023-09-04 21:00:00+00:00;769142.373;14.206
2023-09-04 22:00:00+00:00;631721.224;14.206
2023-09-04 23:00:00+00:00;553916.865;14.7
2023-09-05 00:00:00+00:00;495306.318;15.369
2023-09-05 01:00:00+00:00;470301.239;15.369
2023-09-05 02:00:00+00:00;481888.879;14.85
2023-09-05 03:00:00+00:00;543052.173;13.95045
2023-09-05 04:00:00+00:00;551059.202;13.525
2023-09-05 05:00:00+00:00;543036.107;13.525
2023-09-05 06:00:00+00:00;523669.526;13.525
2023-09-05 07:00:00+00:00;517297.322;13.525
2023-09-05 08:00:00+00:00;525002.214;14.55599
2023-09-05 09:00:00+00:00;519867.722;13.6898485
2023-09-05 10:00:00+00:00;510300.85;15.1294
2023-09-05 11:00:00+00:00;525731.822;14.919
2023-09-05 12:00:00+00:00;585507.17;15.428898
2023-09-05 13:00:00+00:00;665605.697;14.552491499999999
2023-09-05 14:00:00+00:00;707034.612;15.33475
2023-09-05 15:00:00+00:00;763124.488;15.854047499999998
2023-09-05 16:00:00+00:00;858832.926;16.4000925
2023-09-05 17:00:00+00:00;927526.766;14.534199999999998
2023-09-05 18:00:00+00:00;867976.645;13.432750000000002
2023-09-05 19:00:00+00:00;1028067.553;13.175
2023-09-05 20:00:00+00:00;993225.791;13.175
2023-09-05 21:00:00+00:00;818144.618;13.175
2023-09-05 22:00:00+00:00;673801.448;13.175
2023-09-05 23:00:00+00:00;612082.048;13.175
2023-09-06 00:00:00+00:00;584659.229;12.2561415
2023-09-06 01:00:00+00:00;571809.67;12.0264945
2023-09-06 02:00:00+00:00;579550.325;11.944
2023-09-06 03:00:00+00:00;642195.014;10.869
2023-09-06 04:00:00+00:00;642704.933;10.869
2023-09-06 05:00:00+00:00;620061.074;10.869
2023-09-06 06:00:00+00:00;585435.829;11.71195
2023-09-06 07:00:00+00:00;565833.075;11.869
2023-09-06 08:00:00+00:00;559313.268;12.502600000000001
2023-09-06 09:00:00+00:00;543728.941;12.925
2023-09-06 10:00:00+00:00;530473.46;12.925
2023-09-06 11:00:00+00:00;538830.828;14.061444499999999
2023-09-06 12:00:00+00:00;576496.253;14.18099
2023-09-06 13:00:00+00:00;635244.612;14.875790499999999
2023-09-06 14:00:00+00:00;666987.746;15.9501455
2023-09-06 15:00:00+00:00;721110.869;17.9332445
2023-09-06 16:00:00+00:00;818047.421;16.915940999999997
2023-09-06 17:00:00+00:00;892115.126;14.493
2023-09-06 18:00:00+00:00;850733.91;13.145900000000001
2023-09-06 19:00:00+00:00;1031448.625;12.025691
2023-09-06 20:00:00+00:00;1018383.732;11.081598500000002
2023-09-06 21:00:00+00:00;851723.034;10.7646935
2023-09-06 22:00:00+00:00;716168.25;9.85629
2023-09-06 23:00:00+00:00;658783.64;9.804725
2023-09-07 00:00:00+00:00;627209.226;8.82499
2023-09-07 01:00:00+00:00;613557.655;8.5465795
2023-09-07 02:00:00+00:00;626432.558;8.2063
2023-09-07 03:00:00+00:00;690046.546;8.2063
2023-09-07 04:00:00+00:00;685573.652;8.244124500000002
2023-09-07 05:00:00+00:00;646654.928;10.0102715
2023-09-07 06:00:00+00:00;597207.874;12.3705
2023-09-07 07:00:00+00:00;566326.391;13.5952
2023-09-07 08:00:00+00:00;555663.073;14.560099500000002
2023-09-07 09:00:00+00:00;540203.767;15.58799
2023-09-07 10:00:00+00:00;525416.26;16.427998000000002
2023-09-07 11:00:00+00:00;534682.152;17.498
2023-09-07 12:00:00+00:00;576518.955;17.713
2023-09-07 13:00:00+00:00;639340.036;17.713
2023-09-07 14:00:00+00:00;670562.822;17.713
2023-09-07 15:00:00+00:00;715263.126;17.312350000000002
2023-09-07 16:00:00+00:00;803874.511;16.594
2023-09-07 17:00:00+00:00;889663.244;15.624100000000002
2023-09-07 18:00:00+00:00;855520.026;14.4816
2023-09-07 19:00:00+00:00;1032025.766;12.878
2023-09-07 20:00:00+00:00;1009306.769;11.79225
2023-09-07 21:00:00+00:00;826380.538;11.331
2023-09-07 22:00:00+00:00;658316.856;11.331
2023-09-07 23:00:00+00:00;581740.449;11.331
2023-09-08 00:00:00+00:00;537571.1;11.331
2023-09-08 01:00:00+00:00;515320.243;11.7025955
2023-09-08 02:00:00+00:00;522677.94;12.18099
2023-09-08 03:00:00+00:00;579028.905;12.18099
2023-09-08 04:00:00+00:00;590272.883;12.18099
2023-09-08 05:00:00+00:00;581928.398;12.973747499999998
2023-09-08 06:00:00+00:00;560526.071;13.288599999999999
2023-09-08 07:00:00+00:00;546888.208;14.345949999999998
2023-09-08 08:00:00+00:00;544820.073;15.369
2023-09-08 09:00:00+00:00;531661.686;16.001150000000003
2023-09-08 10:00:00+00:00;519641.903;17.131842499999998
2023-09-08 11:00:00+00:00;532635.069;18.11719
2023-09-08 12:00:00+00:00;560893.827;18.98879
2023-09-08 13:00:00+00:00;603439.65;19.7293455
2023-09-08 14:00:00+00:00;633864.175;19.5452495
2023-09-08 15:00:00+00:00;681947.0;21.8383975
2023-09-08 16:00:00+00:00;750377.723;19.342446000000002
2023-09-08 17:00:00+00:00;796913.561;16.703
2023-09-08 18:00:00+00:00;765355.169;15.50755
2023-09-08 19:00:00+00:00;988814.1;14.540699499999999
2023-09-08 20:00:00+00:00;970988.115;14.062999999999999
2023-09-08 21:00:00+00:00;787475.59;14.062999999999999
2023-09-08 22:00:00+00:00;635641.607;14.062999999999999
2023-09-08 23:00:00+00:00;571022.155;13.488800000000001
2023-09-09 00:00:00+00:00;538207.765;13.019
2023-09-09 01:00:00+00:00;525099.226;12.7238
2023-09-09 02:00:00+00:00;515943.535;12.363
2023-09-09 03:00:00+00:00;528271.008;12.363
2023-09-09 04:00:00+00:00;538535.277;12.363
2023-09-09 05:00:00+00:00;591468.191;13.191300000000002
2023-09-09 06:00:00+00:00;625053.646;14.911496500000002
2023-09-09 07:00:00+00:00;637143.31;15.996343999999999
2023-09-09 08:00:00+00:00;634910.355;17.1233
2023-09-09 09:00:00+00:00;618608.805;18.664590999999998
2023-09-09 10:00:00+00:00;600778.927;18.76899
2023-09-09 11:00:00+00:00;593541.318;19.784099500000004
2023-09-09 12:00:00+00:00;604466.254;19.943599
2023-09-09 13:00:00+00:00;637858.951;20.89399
2023-09-09 14:00:00+00:00;707263.757;21.013591499999997
2023-09-09 15:00:00+00:00;812385.006;22.6969985
2023-09-09 16:00:00+00:00;886549.844;21.926692499999998
2023-09-09 17:00:00+00:00;878842.201;18.462449499999998
2023-09-09 18:00:00+00:00;799121.927;17.806
2023-09-09 19:00:00+00:00;972053.345;17.806
2023-09-09 20:00:00+00:00;950205.47;17.806
2023-09-09 21:00:00+00:00;781002.048;17.322250000000004
2023-09-09 22:00:00+00:00;636283.311;16.731
2023-09-09 23:00:00+00:00;550586.655;16.731
2023-09-10 00:00:00+00:00;494290.517;16.731
2023-09-10 01:00:00+00:00;462091.621;15.69605
2023-09-10 02:00:00+00:00;453927.554;15.725
2023-09-10 03:00:00+00:00;462014.914;15.725
2023-09-10 04:00:00+00:00;470190.15;15.725
2023-09-10 05:00:00+00:00;534319.681;15.725
2023-09-10 06:00:00+00:00;597192.948;15.725
2023-09-10 07:00:00+00:00;637581.956;15.725
2023-09-10 08:00:00+00:00;660522.619;15.725
2023-09-10 09:00:00+00:00;656587.468;16.4042495
2023-09-10 10:00:00+00:00;646898.999;16.744
2023-09-10 11:00:00+00:00;642961.885;16.744
2023-09-10 12:00:00+00:00;645935.606;17.568199999999997
2023-09-10 13:00:00+00:00;668399.625;17.75
2023-09-10 14:00:00+00:00;714382.227;17.75
2023-09-10 15:00:00+00:00;796984.588;17.75
2023-09-10 16:00:00+00:00;870224.007;17.75
2023-09-10 17:00:00+00:00;872245.083;17.75
2023-09-10 18:00:00+00:00;794661.669;16.832900000000002
2023-09-10 19:00:00+00:00;954354.634;16.731
2023-09-10 20:00:00+00:00;919818.1;16.731
2023-09-10 21:00:00+00:00;756533.308;16.731
2023-09-10 22:00:00+00:00;596648.152;16.1965
2023-09-10 23:00:00+00:00;519630.261;14.8658495
2023-09-11 00:00:00+00:00;475131.428;13.57875
2023-09-11 01:00:00+00:00;455774.866;12.95795
2023-09-11 02:00:00+00:00;465346.431;12.175097
2023-09-11 03:00:00+00:00;523288.461;11.43099
2023-09-11 04:00:00+00:00;537945.498;11.43099
2023-09-11 05:00:00+00:00;534753.244;12.512043
2023-09-11 06:00:00+00:00;518048.515;14.0125
2023-09-11 07:00:00+00:00;509305.981;15.113744500000001
2023-09-11 08:00:00+00:00;512579.837;16.564999
2023-09-11 09:00:00+00:00;501667.978;16.8287485
2023-09-11 10:00:00+00:00;490912.539;17.69999
2023-09-11 11:00:00+00:00;497726.434;18.6043405
2023-09-11 12:00:00+00:00;537735.857;19.181644
2023-09-11 13:00:00+00:00;601165.212;20.5295995
2023-09-11 14:00:00+00:00;630708.626;23.549444
2023-09-11 15:00:00+00:00;671162.476;25.052090999999997
2023-09-11 16:00:00+00:00;783751.943;20.7537965
2023-09-11 17:00:00+00:00;862886.326;18.1599935
2023-09-11 18:00:00+00:00;804999.21;17.668090999999997
2023-09-11 19:00:00+00:00;971566.752;16.706
2023-09-11 20:00:00+00:00;926548.525;16.9560495
2023-09-11 21:00:00+00:00;745148.444;17.731
2023-09-11 22:00:00+00:00;610942.29;17.731
2023-09-11 23:00:00+00:00;535182.874;17.731
2023-09-12 00:00:00+00:00;479387.628;17.731
2023-09-12 01:00:00+00:00;453740.682;17.5654
2023-09-12 02:00:00+00:00;465246.765;17.363
2023-09-12 03:00:00+00:00;529020.124;17.363
